['LD', 'SECOND']
['ST', 'TEMP']
['ADD', 'FIRST']
['ST', 'SECOND']
['DIV', '#2']
['MUL', '#2']
['CMP', 'SECOND']
['JNZ', '.GO']
['LD', 'RESULT']
['ADD', 'SECOND']
['ST', 'RESULT']
['LD', 'TEMP']
['ST', 'FIRST']
['LD', 'SECOND']
['CMP', 'LIMIT']
['JS', '.LOOP']
['LD', 'RESULT']
['SUB', 'SECOND']
['HLT']
DEBUG:root:{ Tick:779, BR:0, AC:1596, SP:256, PS:1, IP:6, AR:6 }  MUL #2
DEBUG:root:{ Tick:784, BR:0, AC:1596, SP:256, PS:1, IP:7, AR:7 }  CMP SECOND
DEBUG:root:{ Tick:787, BR:0, AC:1596, SP:256, PS:1, IP:11, AR:11 }  JNZ .GO
DEBUG:root:{ Tick:792, BR:0, AC:987, SP:256, PS:1, IP:12, AR:12 }  LD TEMP
DEBUG:root:{ Tick:795, BR:0, AC:987, SP:256, PS:1, IP:13, AR:13 }  ST FIRST
DEBUG:root:{ Tick:800, BR:0, AC:1597, SP:256, PS:1, IP:14, AR:14 }  LD SECOND
DEBUG:root:{ Tick:805, BR:0, AC:1597, SP:256, PS:1, IP:15, AR:15 }  CMP LIMIT
DEBUG:root:{ Tick:808, BR:0, AC:1597, SP:256, PS:1, IP:0, AR:0 }  JS .LOOP
DEBUG:root:{ Tick:813, BR:0, AC:1597, SP:256, PS:1, IP:1, AR:1 }  LD SECOND
DEBUG:root:{ Tick:816, BR:0, AC:1597, SP:256, PS:1, IP:2, AR:2 }  ST TEMP
DEBUG:root:{ Tick:822, BR:0, AC:2584, SP:256, PS:1, IP:3, AR:3 }  ADD FIRST
DEBUG:root:{ Tick:825, BR:0, AC:2584, SP:256, PS:1, IP:4, AR:4 }  ST SECOND
DEBUG:root:{ Tick:829, BR:0, AC:1292, SP:256, PS:1, IP:5, AR:5 }  DIV #2
DEBUG:root:{ Tick:833, BR:0, AC:2584, SP:256, PS:1, IP:6, AR:6 }  MUL #2
